Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
1.2531978,0.1059493,0.0011145,0.0023657,0.0012753,0.0010757,0.0033799,0.0142483,0.0026381,0.0018082,0.0015437,0.0014289,0.0003511,0.0014279,0.0023125,0.0008276,0.0055382,0.0037976,0.3496266,0.0541221,0.0374668,0.0116429,0.0070616,0.0021043,0.0217895,0.0084606,0.0013568,0.0015635,0.0030245,0.0019222,0.0014361,0.0040929,0.0013829,0.0038314,0.0011784,0.0008699,0.0005654,0.001786,0.0009189,0.0005504,0.0010957,0.0008542,0.0013287,0.0004053,0.0008795,0.0006523,0.0008597,0.0020163,0.0006845,0.0007573,0.00056,0.0024401,0.0009887,0.0022452,0.0024144,0.0077693,0.0020928,0.0055643,0.0089338,0.0154035,0.0024608,0.023282,0.0092526,0.0244508,0.0017286,0.0017316,0.0027796,0.0112273,0.0014433
0.068564,1.0161189,0.0005028,0.0023678,0.0009156,0.0007055,0.0049279,0.1247513,0.0019729,0.0019351,0.0016811,0.0015533,0.0004384,0.0020932,0.0029324,0.000902,0.0189805,0.004812,0.0303524,0.0054038,0.013714,0.0518242,0.0055095,0.0007386,0.0032655,0.0120469,0.0010663,0.0005816,0.0056629,0.0006926,0.0010236,0.0011259,0.0057831,0.0008656,0.0007906,0.0015163,0.0003235,0.001568,0.0010218,0.0004562,0.0006474,0.0007397,0.0010999,0.000238,0.0004762,0.0003999,0.0004504,0.0018043,0.0005577,0.0004864,0.0002864,0.0009921,0.0005669,0.0008951,0.0011127,0.001783,0.0008313,0.0015285,0.0015945,0.0024582,0.0005579,0.0035857,0.0044749,0.0080989,0.0009717,0.0005215,0.0009987,0.0034074,0.0013638
0.0255165,0.0131576,1.1554817,0.0400082,0.0173603,0.0978609,0.0250901,0.0120777,0.0161335,0.0184096,0.0113994,0.010525,0.0018093,0.0159107,0.0112235,0.0047431,0.0129,0.0112488,0.0170799,0.0218669,0.0126925,0.0209358,0.0186961,0.6884963,0.0598133,0.0250973,0.0076202,0.0073979,0.0132407,0.0075041,0.0091398,0.077776,0.0583625,0.0386965,0.041671,0.0241363,0.0052549,0.047368,0.0145676,0.0026614,0.0048282,0.0044742,0.0060216,0.0045864,0.0095707,0.0035739,0.0098271,0.0203056,0.0066806,0.0036769,0.0027407,0.005723,0.0067518,0.0089125,0.0186616,0.0136041,0.0066928,0.0140288,0.0079878,0.0091835,0.004794,0.0259928,0.0100712,0.0108628,0.0069981,0.0041314,0.0258474,0.0347668,0.0925682
0.0074576,0.001572,0.0043378,1.0791385,0.0046951,0.0130433,0.0173352,0.0028636,0.068205,0.0706744,0.0204677,0.0115295,0.0012867,0.0148395,0.0132557,0.0054607,0.0079529,0.0083625,0.0051512,0.0058337,0.0031654,0.0067994,0.0032362,0.006519,0.0137468,0.0067586,0.0011157,0.0011899,0.0020322,0.0013122,0.0016196,0.0013879,0.0047522,0.0019778,0.0015751,0.002549,0.0010424,0.0024217,0.0026424,0.0007003,0.0011658,0.0018178,0.0033764,0.000403,0.0008478,0.000685,0.0008959,0.0038237,0.0008612,0.0006913,0.0004825,0.0019775,0.0011428,0.0019402,0.0033594,0.0025484,0.0013335,0.0017501,0.0015259,0.0018353,0.0024807,0.0060492,0.0017295,0.0021289,0.0022738,0.0021291,0.0011576,0.0024639,0.0145302
0.0007306,0.0003254,0.0241145,0.0226425,1.0101178,0.0023319,0.0010696,0.0003997,0.0018189,0.0019185,0.003705,0.0007347,0.000101,0.0008857,0.0008378,0.0003936,0.0006008,0.0005462,0.0005529,0.0006622,0.0004251,0.0007263,0.0005522,0.014515,0.0015865,0.0007942,0.0002026,0.0001989,0.0003391,0.0001999,0.0002498,0.0016674,0.0013598,0.0009263,0.0009306,0.0005845,0.0001763,0.0010726,0.0003916,0.000085,0.0001401,0.0001883,0.0002292,0.00011,0.0002298,0.0000979,0.0002357,0.0005382,0.0001756,0.0001006,0.0000805,0.0002109,0.0001897,0.0002521,0.000552,0.0003572,0.0001808,0.0003494,0.0002147,0.0002701,0.0001594,0.0006971,0.0002799,0.0003025,0.0002203,0.0001473,0.0005928,0.0007983,0.0023059
0.0264973,0.0075232,0.0256001,0.0378683,0.0068698,0.840442,0.0146638,0.017036,0.0324005,0.0324052,0.022436,0.0161662,0.0038273,0.0156251,0.0193411,0.0086355,0.0190073,0.0149785,0.0228336,0.0338041,0.0225293,0.035316,0.0263981,0.0294613,0.0250816,0.0312303,0.0179169,0.0223037,0.0525435,0.0366102,0.0333942,0.0105085,0.0092497,0.0128689,0.0182782,0.0082593,0.0177247,0.0128118,0.0870361,0.004716,0.0105621,0.0106043,0.0133861,0.0047613,0.0095751,0.011748,0.0158842,0.0890331,0.0103866,0.0112214,0.003593,0.0115907,0.0235287,0.0110542,0.0131063,0.0230337,0.0099402,0.0180626,0.0187386,0.0176152,0.0106213,0.0182369,0.0310834,0.0376505,0.0119684,0.0075269,0.0132151,0.0170224,0.0364271
0.0150494,0.0041297,0.0083812,0.0222515,0.0107508,0.049956,1.0056844,0.0056846,0.0094402,0.0096498,0.0073247,0.0056382,0.0012744,0.0052485,0.0064717,0.0030875,0.0067957,0.0051927,0.0093082,0.0089374,0.0073229,0.0104796,0.0086995,0.0190175,0.0072784,0.0085972,0.0082354,0.0090608,0.0186752,0.0116012,0.0153071,0.0089644,0.0379345,0.009644,0.0104921,0.0270796,0.0110342,0.0208295,0.0213986,0.0023085,0.0068792,0.0079424,0.0071907,0.0059256,0.0094227,0.0101973,0.0095058,0.080905,0.0063458,0.0087937,0.0021726,0.0077183,0.0083984,0.0060021,0.0072459,0.012327,0.0059816,0.010577,0.0110785,0.0131777,0.0074745,0.0402406,0.0085004,0.0132687,0.0107064,0.0103357,0.0113478,0.0184902,0.1659751
0.0053888,0.0024313,0.0019674,0.0094494,0.0051734,0.0036689,0.0416441,1.2387474,0.007948,0.0089974,0.0080674,0.0068978,0.0027937,0.0114086,0.0147978,0.00429,0.1613874,0.0184183,0.0065601,0.006419,0.0049239,0.0642227,0.0071837,0.002555,0.0039481,0.0159804,0.0052388,0.0024551,0.0080076,0.0028361,0.0050343,0.0015251,0.0543349,0.0022396,0.0030698,0.0034797,0.0012535,0.0038286,0.0059625,0.0013809,0.0028021,0.0038371,0.006558,0.0008418,0.0016043,0.0017256,0.0015086,0.0121799,0.0025269,0.0017622,0.0007703,0.0028454,0.0017842,0.0025987,0.002872,0.002941,0.0022143,0.0031389,0.0026415,0.0068088,0.0015197,0.0044449,0.0063623,0.0045448,0.0028404,0.001583,0.0034192,0.0049506,0.0091093
0.0030294,0.0012549,0.0079855,0.0190286,0.0091382,0.005347,0.0467667,0.0086271,1.1151552,0.0145347,0.0088836,0.0097277,0.0011751,0.0170268,0.0247185,0.0043227,0.0124533,0.0080354,0.0086662,0.0080239,0.0037791,0.006011,0.0026205,0.0085737,0.0055611,0.0116275,0.0014621,0.0028742,0.002593,0.0015664,0.003122,0.0021119,0.0038934,0.0022059,0.002235,0.0030219,0.0012648,0.0030427,0.0043269,0.0007439,0.00124,0.0048579,0.0038848,0.0006703,0.0012908,0.0010342,0.0012557,0.005372,0.0018462,0.0009917,0.000748,0.0034734,0.0013783,0.0025787,0.0044171,0.0019351,0.0028726,0.0035179,0.0022417,0.0034109,0.0010316,0.0046002,0.002138,0.0048853,0.0034769,0.0018817,0.0016007,0.0029494,0.0157103
0.0162156,0.006082,0.0536187,0.0345917,0.0247377,0.0135529,0.0425053,0.0287193,0.0380664,1.4455956,0.3543125,0.1988907,0.0201121,0.2486483,0.2160501,0.0904729,0.1184355,0.1168113,0.0278582,0.0243266,0.0194559,0.0383698,0.0221468,0.0381313,0.0163784,0.0359535,0.0064365,0.0062249,0.0068455,0.005426,0.0072383,0.0048861,0.031238,0.0159249,0.0095048,0.0083835,0.006865,0.0156024,0.0118375,0.0031916,0.0038522,0.0115987,0.0093998,0.0015585,0.0034408,0.0026735,0.0033691,0.0126024,0.0048741,0.0026505,0.0033487,0.0078422,0.00493,0.0081548,0.0283316,0.0078751,0.0051432,0.0070523,0.0060217,0.0117965,0.0029006,0.0109879,0.0072638,0.0081164,0.0116565,0.006447,0.0089715,0.0083049,0.0247458
0.018536,0.0075025,0.0378485,0.0287187,0.0197266,0.015346,0.0729523,0.043048,0.0434688,0.0740271,1.1077541,0.1148376,0.0149644,0.099304,0.1292353,0.071849,0.0678373,0.0551769,0.0345991,0.0335788,0.0352553,0.0592013,0.0374222,0.0277994,0.0272492,0.0548177,0.0073064,0.0071159,0.0081534,0.0057989,0.0091622,0.005679,0.019223,0.029122,0.0113337,0.0115013,0.0159914,0.0151576,0.0131643,0.0051904,0.0046076,0.0204048,0.0118124,0.0019291,0.0041526,0.0030388,0.0041098,0.0137035,0.0066566,0.0032496,0.0044287,0.0092086,0.0066677,0.00934,0.0352353,0.0084753,0.0051825,0.007812,0.0062306,0.0151438,0.0031399,0.0129979,0.0126027,0.0117839,0.0111969,0.0063831,0.0119085,0.0094591,0.0340217
0.0157792,0.0060808,0.0371793,0.0623497,0.0531777,0.0100001,0.0296013,0.0089755,0.0122462,0.0165742,0.0287814,1.0843182,0.0035441,0.0493983,0.0695182,0.0260969,0.0082864,0.0165833,0.0139853,0.008454,0.0059855,0.0148864,0.0285321,0.0242454,0.0138115,0.0163127,0.0042088,0.0034123,0.00452,0.0033708,0.0047402,0.0056777,0.0070282,0.006968,0.0072285,0.0060107,0.0026082,0.0207692,0.0085072,0.0019456,0.0025749,0.0048121,0.0056468,0.0009636,0.0020728,0.0023831,0.0020904,0.006349,0.0034766,0.0016377,0.0034872,0.0044662,0.0030596,0.0067435,0.0383894,0.0101637,0.0031965,0.0044175,0.003572,0.0044227,0.0021046,0.0062936,0.0032168,0.0046118,0.0113159,0.0025841,0.0039329,0.006759,0.0162413
0.0065551,0.002974,0.0062932,0.0079197,0.006733,0.0047438,0.0118302,0.0229159,0.0186504,0.0180439,0.0264681,0.0439432,1.0347527,0.052279,0.0688189,0.0729046,0.0273943,0.0419062,0.0101048,0.0282443,0.0204779,0.0173579,0.0402555,0.0070271,0.0163931,0.0229076,0.0111167,0.0075811,0.0058211,0.0066681,0.0066839,0.0043593,0.0070043,0.0084892,0.0062251,0.0043025,0.0030937,0.006567,0.0069695,0.0115401,0.0147913,0.0327557,0.0204456,0.0019695,0.0057999,0.0025998,0.0083711,0.0059795,0.0039191,0.0069581,0.0131606,0.0116342,0.0206165,0.010054,0.0125368,0.0067559,0.0120708,0.0056396,0.0046443,0.006586,0.0025285,0.0056688,0.0052843,0.0056065,0.0135788,0.0122492,0.0031986,0.005522,0.0098531
0.0189101,0.0057334,0.0042967,0.0067395,0.0114331,0.0053923,0.0297873,0.0235244,0.00479,0.015382,0.0152974,0.0537981,0.0059045,1.0523019,0.0277229,0.011511,0.01302,0.0126604,0.008724,0.0057374,0.0042981,0.0087865,0.0061131,0.0039081,0.0045416,0.0115115,0.0026759,0.0029452,0.0031791,0.0063899,0.0031214,0.0021688,0.0082709,0.00378,0.0027917,0.0046596,0.0016295,0.0039248,0.0038245,0.0010653,0.0017244,0.0112124,0.0035831,0.0008617,0.0019033,0.0013859,0.0017828,0.0059677,0.0019991,0.0013318,0.0034914,0.0049955,0.0020356,0.0044117,0.0119915,0.0046132,0.0015564,0.0027064,0.0053047,0.0045251,0.0014788,0.0063433,0.0045689,0.0035098,0.0088114,0.0062075,0.0023425,0.0029867,0.0177695
0.0079252,0.0045879,0.0083561,0.0148721,0.0089173,0.0048053,0.0075642,0.0116483,0.0109361,0.0212656,0.018155,0.0555222,0.0023578,0.0152313,1.4406313,0.0315236,0.0113682,0.008704,0.0091953,0.0084171,0.0062666,0.0159842,0.0092775,0.0069712,0.0059383,0.0095078,0.0080014,0.014377,0.0104632,0.0045336,0.0097191,0.0007647,0.0048886,0.0057297,0.0147995,0.0078986,0.002018,0.0062385,0.0336315,0.0019422,0.0028563,0.0037965,0.0038968,0.0008998,0.0018854,0.0014408,0.0017922,0.0039467,0.0049849,0.0014172,0.0014223,0.0043949,0.0040612,0.0117225,0.0202447,0.0045791,0.0024612,0.0048502,0.0030343,0.0116182,0.0033396,0.0040425,0.0034688,0.0044522,0.0219489,0.0015984,0.0149868,0.0069443,0.0068063
0.0008999,0.0016647,0.0007934,0.0013945,0.0008623,0.0008988,0.0009209,0.0012653,0.0013899,0.0021919,0.002945,0.0078152,0.0182607,0.002883,0.0091784,1.2395019,0.001283,0.001137,0.0010528,0.0012279,0.0008762,0.001546,0.0013818,0.00081,0.0009085,0.0015364,0.0007247,0.0004612,0.0004605,0.0003761,0.0005877,0.0061638,0.0241426,0.0443677,0.0021236,0.0011827,0.0004169,0.0106376,0.0006595,0.000382,0.0005714,0.0009092,0.000788,0.0001472,0.0006478,0.0002019,0.0005818,0.00052,0.0003231,0.0002867,0.0003798,0.0008577,0.0005987,0.0007566,0.0021438,0.0004065,0.0004122,0.0003898,0.0003255,0.0004752,0.0002227,0.000556,0.0003661,0.0004259,0.0011903,0.0058156,0.0008091,0.0004104,0.0013135
0.000278,0.0001033,0.0001649,0.0003498,0.0002116,0.000764,0.0087922,0.0031026,0.000292,0.0002741,0.0003411,0.0006282,0.0001155,0.0002346,0.0003838,0.0004989,0.9845129,0.0007722,0.0002536,0.0014716,0.0005526,0.000437,0.0002723,0.0002678,0.000193,0.0011232,0.0004972,0.0008716,0.0002982,0.0002222,0.0017274,0.0001866,0.0005472,0.0006695,0.0004898,0.0003434,0.0001827,0.0003658,0.0003188,0.0001321,0.000202,0.0003675,0.0009986,0.000111,0.000361,0.0001824,0.000303,0.0009069,0.0001537,0.0001925,0.0000745,0.0004056,0.0001783,0.0001882,0.000199,0.0002059,0.0004426,0.0002718,0.0002161,0.0005922,0.0005075,0.0008643,0.0002364,0.0005718,0.0003891,0.0001631,0.0117047,0.0002613,0.0016483
0.0008527,0.0005914,0.0007775,0.0012684,0.0009284,0.0006525,0.0016698,0.0010204,0.0015508,0.0015044,0.0017177,0.0067008,0.0022045,0.0052391,0.0047302,0.0010084,0.0067128,0.9999812,0.0008152,0.005817,0.0190106,0.0012989,0.0072276,0.0010445,0.0021355,0.005349,0.0009396,0.0013944,0.000997,0.0006562,0.0014825,0.0006219,0.0005949,0.0009542,0.0008325,0.0006178,0.0004935,0.0014453,0.0026133,0.0004119,0.0006814,0.0008703,0.0010745,0.0002892,0.0006332,0.0003893,0.000564,0.0009917,0.000494,0.0004373,0.0003682,0.0027239,0.0005923,0.002167,0.0047229,0.0026847,0.0142188,0.0138709,0.0052111,0.0078188,0.0004946,0.0013633,0.0006666,0.000973,0.001624,0.0016971,0.000457,0.0070581,0.0011455
0.1112471,0.0162639,0.0014829,0.0020368,0.0016669,0.0018134,0.0019278,0.0037716,0.0046399,0.0034852,0.0023078,0.0018891,0.0004197,0.0019401,0.0027702,0.0010777,0.0031278,0.0028516,1.2167543,0.0106518,0.0807329,0.0132338,0.0161518,0.0030036,0.0206066,0.0079926,0.0029539,0.0013727,0.0051771,0.002429,0.0020912,0.0115989,0.0013493,0.0111674,0.0023313,0.0013223,0.0010337,0.0027833,0.0014663,0.0011267,0.0022282,0.0015638,0.0026747,0.0008552,0.001785,0.0014111,0.0018298,0.0037066,0.001331,0.0016711,0.0011939,0.0046405,0.0018226,0.0032172,0.0056436,0.023366,0.0039435,0.0158535,0.0269626,0.0509453,0.0074631,0.0244489,0.0271345,0.0716439,0.0044085,0.0014144,0.0084454,0.0327791,0.0017258
0.0014797,0.0008928,0.0006942,0.0012067,0.0007517,0.0005862,0.0025678,0.0046242,0.004523,0.0013104,0.0012232,0.0046154,0.0002842,0.0014303,0.0084273,0.0025365,0.0405073,0.0162299,0.002228,1.0908652,0.2722441,0.0265505,0.0102276,0.0009936,0.0076226,0.01331,0.0019878,0.0007356,0.0011567,0.019702,0.0024819,0.000523,0.0007605,0.0012769,0.0007302,0.0009533,0.000262,0.0011978,0.0007377,0.0003987,0.0018886,0.0005902,0.0006219,0.0001623,0.0003823,0.0002522,0.0003443,0.000851,0.0006426,0.0002967,0.0002229,0.000779,0.0003997,0.0009318,0.0024101,0.0009501,0.0010141,0.0016575,0.0114973,0.0065977,0.0003583,0.0011016,0.0107937,0.0011921,0.0011016,0.0009994,0.0012606,0.0020272,0.0010453
